image,type,style,color,material,shape,details,room_type,price_range,prompt
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BC3E0>,table,bauhaus,onyx,concrete,round,open shelf,outdoor,standard,"Professional product photography of a bauhaus onyx table, made of concrete, round shape, featuring open shelf, outdoor in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BC510>,table,zen,concrete,ceramic,oval,table leaf,cafe,premium,"Professional product photography of a zen concrete table, made of ceramic, oval shape, featuring table leaf, cafe in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BC640>,table,organic,crystal,wood,rectangular,solid base,cafe,standard,"Professional product photography of a organic crystal table, made of wood, rectangular shape, featuring solid base, cafe in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BC770>,table,modern,brass,composite,hexagonal,extendable top,living,elite,"Professional product photography of a modern brass table, made of composite, hexagonal shape, featuring extendable top, living in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BC8A0>,table,deco,titanium,brass,organic,drawer storage,outdoor,standard,"Professional product photography of a deco titanium table, made of brass, organic shape, featuring drawer storage, outdoor in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BC9D0>,table,hightech,brass,composite,circle,basic frame,conference,premium,"Professional product photography of a hightech brass table, made of composite, circle shape, featuring basic frame, conference in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BCB00>,table,brutalist,marble,marble,boat,drawer storage,cafe,standard,"Professional product photography of a brutalist marble table, made of marble, boat shape, featuring drawer storage, cafe in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BCC30>,table,brutalist,crystal,steel,modular,flat pack,conference,luxury,"Professional product photography of a brutalist crystal table, made of steel, modular shape, featuring flat pack, conference in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BCD60>,table,parametric,obsidian,glass,round,split top,cafe,standard,"Professional product photography of a parametric obsidian table, made of glass, round shape, featuring split top, cafe in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BCE90>,table,bauhaus,chrome,glass,circle,pedestal base,study,elite,"Professional product photography of a bauhaus chrome table, made of glass, circle shape, featuring pedestal base, study in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BCFC0>,table,organic,brass,concrete,square,sharp edges,office,budget,"Professional product photography of a organic brass table, made of concrete, square shape, featuring sharp edges, office in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BD0F0>,table,nordic,chrome,wood,hexagonal,crossed legs,living,premium,"Professional product photography of a nordic chrome table, made of wood, hexagonal shape, featuring crossed legs, living in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BD220>,table,organic,steel,bamboo,round,nesting design,living,luxury,"Professional product photography of a organic steel table, made of bamboo, round shape, featuring nesting design, living in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BD350>,table,traditional,marble,glass,expandable,trestle base,dining,budget,"Professional product photography of a traditional marble table, made of glass, expandable shape, featuring trestle base, dining in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BD480>,table,brutalist,marble,resin,boat,solid base,living,standard,"Professional product photography of a brutalist marble table, made of resin, boat shape, featuring solid base, living in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BD5B0>,table,organic,slate,marble,rectangular,center support,living,premium,"Professional product photography of a organic slate table, made of marble, rectangular shape, featuring center support, living in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BD6E0>,table,hightech,graphite,bamboo,reversible,basic frame,office,premium,"Professional product photography of a hightech graphite table, made of bamboo, reversible shape, featuring basic frame, office in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BD810>,table,parametric,bronze,metal,reversible,solid base,office,luxury,"Professional product photography of a parametric bronze table, made of metal, reversible shape, featuring solid base, office in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BD940>,table,coastal,titanium,stone,expandable,four legs,cafe,luxury,"Professional product photography of a coastal titanium table, made of stone, expandable shape, featuring four legs, cafe in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BDA70>,table,zen,walnut,terrazzo,organic,center support,living,budget,"Professional product photography of a zen walnut table, made of terrazzo, organic shape, featuring center support, living in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BDBA0>,table,organic,concrete,brass,nested,storage shelf,kitchen,budget,"Professional product photography of a organic concrete table, made of brass, nested shape, featuring storage shelf, kitchen in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BDCD0>,table,minimal,steel,quartz,expandable,trestle base,dining,budget,"Professional product photography of a minimal steel table, made of quartz, expandable shape, featuring trestle base, dining in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BDE00>,table,organic,crystal,wood,hexagonal,four legs,outdoor,standard,"Professional product photography of a organic crystal table, made of wood, hexagonal shape, featuring four legs, outdoor in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BDF30>,table,zen,graphite,glass,oval,table leaf,outdoor,elite,"Professional product photography of a zen graphite table, made of glass, oval shape, featuring table leaf, outdoor in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BE060>,table,coastal,chrome,terrazzo,organic,pedestal base,dining,standard,"Professional product photography of a coastal chrome table, made of terrazzo, organic shape, featuring pedestal base, dining in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BE190>,table,hightech,slate,oak,triangular,crossed legs,cafe,standard,"Professional product photography of a hightech slate table, made of oak, triangular shape, featuring crossed legs, cafe in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BE2C0>,table,brutalist,walnut,metal,nested,four legs,office,premium,"Professional product photography of a brutalist walnut table, made of metal, nested shape, featuring four legs, office in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BE3F0>,table,minimal,obsidian,glass,boat,metal base,kitchen,premium,"Professional product photography of a minimal obsidian table, made of glass, boat shape, featuring metal base, kitchen in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BE520>,table,zen,chrome,concrete,organic,open shelf,outdoor,premium,"Professional product photography of a zen chrome table, made of concrete, organic shape, featuring open shelf, outdoor in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BE650>,table,biomorphic,slate,composite,nested,four legs,study,luxury,"Professional product photography of a biomorphic slate table, made of composite, nested shape, featuring four legs, study in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BE780>,table,parametric,graphite,marble,oval,drop leaf,kitchen,standard,"Professional product photography of a parametric graphite table, made of marble, oval shape, featuring drop leaf, kitchen in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BE8B0>,table,traditional,graphite,oak,modular,center support,dining,standard,"Professional product photography of a traditional graphite table, made of oak, modular shape, featuring center support, dining in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BE9E0>,table,brutalist,oak,terrazzo,expandable,storage shelf,living,elite,"Professional product photography of a brutalist oak table, made of terrazzo, expandable shape, featuring storage shelf, living in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BEB10>,table,industrial,graphite,resin,circle,split top,living,standard,"Professional product photography of a industrial graphite table, made of resin, circle shape, featuring split top, living in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BEC40>,table,nordic,walnut,steel,hexagonal,solid base,living,standard,"Professional product photography of a nordic walnut table, made of steel, hexagonal shape, featuring solid base, living in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BED70>,table,zen,onyx,glass,circle,four legs,dining,luxury,"Professional product photography of a zen onyx table, made of glass, circle shape, featuring four legs, dining in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BEEA0>,table,nordic,chrome,metal,tiered,four legs,study,elite,"Professional product photography of a nordic chrome table, made of metal, tiered shape, featuring four legs, study in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BEFD0>,table,organic,marble,quartz,round,wooden top,living,premium,"Professional product photography of a organic marble table, made of quartz, round shape, featuring wooden top, living in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BF100>,table,nordic,titanium,ceramic,hexagonal,glass top,conference,luxury,"Professional product photography of a nordic titanium table, made of ceramic, hexagonal shape, featuring glass top, conference in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BF230>,table,parametric,graphite,steel,circle,drawer storage,outdoor,premium,"Professional product photography of a parametric graphite table, made of steel, circle shape, featuring drawer storage, outdoor in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BF360>,table,organic,crystal,steel,square,foldable sides,study,premium,"Professional product photography of a organic crystal table, made of steel, square shape, featuring foldable sides, study in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BF490>,table,traditional,obsidian,quartz,reversible,table leaf,dining,luxury,"Professional product photography of a traditional obsidian table, made of quartz, reversible shape, featuring table leaf, dining in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BF5C0>,table,bauhaus,onyx,bamboo,expandable,metal base,kitchen,elite,"Professional product photography of a bauhaus onyx table, made of bamboo, expandable shape, featuring metal base, kitchen in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BF6F0>,table,traditional,marble,glass,hexagonal,wooden top,dining,premium,"Professional product photography of a traditional marble table, made of glass, hexagonal shape, featuring wooden top, dining in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BF820>,table,parametric,copper,resin,organic,drawer storage,cafe,premium,"Professional product photography of a parametric copper table, made of resin, organic shape, featuring drawer storage, cafe in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BF950>,table,hightech,slate,glass,rectangular,sharp edges,living,budget,"Professional product photography of a hightech slate table, made of glass, rectangular shape, featuring sharp edges, living in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BFA80>,table,primitive,onyx,marble,square,open shelf,conference,standard,"Professional product photography of a primitive onyx table, made of marble, square shape, featuring open shelf, conference in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BFBB0>,table,deco,walnut,terrazzo,reversible,four legs,kitchen,elite,"Professional product photography of a deco walnut table, made of terrazzo, reversible shape, featuring four legs, kitchen in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BFCE0>,table,biomorphic,chrome,terrazzo,rectangular,extendable top,cafe,budget,"Professional product photography of a biomorphic chrome table, made of terrazzo, rectangular shape, featuring extendable top, cafe in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0BFE10>,table,parametric,concrete,metal,rectangular,trestle base,office,elite,"Professional product photography of a parametric concrete table, made of metal, rectangular shape, featuring trestle base, office in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D8050>,table,brutalist,slate,marble,round,drawer storage,living,budget,"Professional product photography of a brutalist slate table, made of marble, round shape, featuring drawer storage, living in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D8180>,table,industrial,concrete,oak,boat,double base,kitchen,premium,"Professional product photography of a industrial concrete table, made of oak, boat shape, featuring double base, kitchen in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D82B0>,table,modern,steel,oak,oval,wooden top,outdoor,standard,"Professional product photography of a modern steel table, made of oak, oval shape, featuring wooden top, outdoor in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D83E0>,table,primitive,titanium,concrete,organic,foldable sides,living,elite,"Professional product photography of a primitive titanium table, made of concrete, organic shape, featuring foldable sides, living in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D8510>,table,brutalist,walnut,marble,hexagonal,rounded base,office,standard,"Professional product photography of a brutalist walnut table, made of marble, hexagonal shape, featuring rounded base, office in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D8640>,table,brutalist,brass,concrete,rectangular,storage shelf,office,luxury,"Professional product photography of a brutalist brass table, made of concrete, rectangular shape, featuring storage shelf, office in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D8770>,table,traditional,brass,bamboo,reversible,basic frame,conference,budget,"Professional product photography of a traditional brass table, made of bamboo, reversible shape, featuring basic frame, conference in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D88A0>,table,parametric,walnut,metal,round,split top,study,standard,"Professional product photography of a parametric walnut table, made of metal, round shape, featuring split top, study in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D89D0>,table,minimal,graphite,steel,hexagonal,wooden top,kitchen,standard,"Professional product photography of a minimal graphite table, made of steel, hexagonal shape, featuring wooden top, kitchen in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D8B00>,table,deco,slate,oak,boat,table leaf,outdoor,elite,"Professional product photography of a deco slate table, made of oak, boat shape, featuring table leaf, outdoor in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D8C30>,table,biomorphic,marble,resin,modular,open shelf,dining,standard,"Professional product photography of a biomorphic marble table, made of resin, modular shape, featuring open shelf, dining in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D8D60>,table,industrial,titanium,quartz,expandable,flat pack,study,elite,"Professional product photography of a industrial titanium table, made of quartz, expandable shape, featuring flat pack, study in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D8E90>,table,deco,onyx,composite,rectangular,angled legs,outdoor,standard,"Professional product photography of a deco onyx table, made of composite, rectangular shape, featuring angled legs, outdoor in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D8FC0>,table,nordic,graphite,brass,round,split top,office,budget,"Professional product photography of a nordic graphite table, made of brass, round shape, featuring split top, office in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D90F0>,table,primitive,concrete,oak,triangular,sharp edges,living,budget,"Professional product photography of a primitive concrete table, made of oak, triangular shape, featuring sharp edges, living in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D9220>,table,coastal,oak,terrazzo,expandable,storage shelf,cafe,elite,"Professional product photography of a coastal oak table, made of terrazzo, expandable shape, featuring storage shelf, cafe in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D9350>,table,traditional,bronze,terrazzo,modular,raised edges,dining,elite,"Professional product photography of a traditional bronze table, made of terrazzo, modular shape, featuring raised edges, dining in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D9480>,table,brutalist,marble,steel,circle,extendable top,living,standard,"Professional product photography of a brutalist marble table, made of steel, circle shape, featuring extendable top, living in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D95B0>,table,nordic,titanium,steel,tiered,drop leaf,cafe,premium,"Professional product photography of a nordic titanium table, made of steel, tiered shape, featuring drop leaf, cafe in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D96E0>,table,hightech,crystal,bamboo,modular,wooden top,dining,standard,"Professional product photography of a hightech crystal table, made of bamboo, modular shape, featuring wooden top, dining in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D9810>,table,parametric,chrome,wood,modular,pedestal base,kitchen,budget,"Professional product photography of a parametric chrome table, made of wood, modular shape, featuring pedestal base, kitchen in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D9940>,table,biomorphic,marble,steel,round,rounded base,outdoor,luxury,"Professional product photography of a biomorphic marble table, made of steel, round shape, featuring rounded base, outdoor in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D9A70>,table,industrial,copper,composite,freeform,basic frame,conference,budget,"Professional product photography of a industrial copper table, made of composite, freeform shape, featuring basic frame, conference in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D9BA0>,table,biomorphic,chrome,stone,organic,flat pack,dining,budget,"Professional product photography of a biomorphic chrome table, made of stone, organic shape, featuring flat pack, dining in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D9CD0>,table,coastal,concrete,steel,reversible,center support,study,budget,"Professional product photography of a coastal concrete table, made of steel, reversible shape, featuring center support, study in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D9E00>,table,minimal,walnut,concrete,square,rounded base,kitchen,elite,"Professional product photography of a minimal walnut table, made of concrete, square shape, featuring rounded base, kitchen in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0D9F30>,table,nordic,copper,composite,circle,foldable sides,study,standard,"Professional product photography of a nordic copper table, made of composite, circle shape, featuring foldable sides, study in mind, standard price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0DA060>,table,parametric,crystal,concrete,reversible,invisible joints,kitchen,premium,"Professional product photography of a parametric crystal table, made of concrete, reversible shape, featuring invisible joints, kitchen in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0DA190>,table,modern,concrete,ceramic,square,extendable top,study,budget,"Professional product photography of a modern concrete table, made of ceramic, square shape, featuring extendable top, study in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0DA2C0>,table,zen,chrome,oak,square,storage shelf,kitchen,premium,"Professional product photography of a zen chrome table, made of oak, square shape, featuring storage shelf, kitchen in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0DA3F0>,table,deco,bronze,bamboo,nested,raised edges,office,premium,"Professional product photography of a deco bronze table, made of bamboo, nested shape, featuring raised edges, office in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0DA520>,table,deco,bronze,marble,boat,flat pack,outdoor,luxury,"Professional product photography of a deco bronze table, made of marble, boat shape, featuring flat pack, outdoor in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x2838D0DA650>,table,minimal,onyx,marble,rectangular,wooden top,study,budget,"Professional product photography of a minimal onyx table, made of marble, rectangular shape, featuring wooden top, study in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
